Entity,Code,Year,"Unemployment, total (% of total labor force) (modeled ILO estimate)"
Vietnam,VNM,1991,2.142
Vietnam,VNM,1992,2.11
Vietnam,VNM,1993,2.038
Vietnam,VNM,1994,1.972
Vietnam,VNM,1995,1.955
Vietnam,VNM,1996,1.93
Vietnam,VNM,1997,2.87
Vietnam,VNM,1998,2.29
Vietnam,VNM,1999,2.33
Vietnam,VNM,2000,2.26
Vietnam,VNM,2001,2.76
Vietnam,VNM,2002,2.12
Vietnam,VNM,2003,2.25
Vietnam,VNM,2004,2.14
Vietnam,VNM,2005,2.078
Vietnam,VNM,2006,2.046
Vietnam,VNM,2007,2.026
Vietnam,VNM,2008,1.889
Vietnam,VNM,2009,1.737
Vietnam,VNM,2010,1.114
Vietnam,VNM,2011,0.999
Vietnam,VNM,2012,1.027
Vietnam,VNM,2013,1.316
Vietnam,VNM,2014,1.256
Vietnam,VNM,2015,1.848
Vietnam,VNM,2016,1.848
Vietnam,VNM,2017,1.874
Vietnam,VNM,2018,1.161
Vietnam,VNM,2019,1.681
Vietnam,VNM,2020,2.103
Vietnam,VNM,2021,2.385
Vietnam,VNM,2022,1.523
Vietnam,VNM,2023,1.645
Vietnam,VNM,2024,1.431
