indicator_id,indicator_value,country_id,country_value,countryiso3code,date,value,unit,obs_status,decimal
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2024,20170000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2023,18500000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2022,17900000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2021,15660000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2020,15800000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2019,16120000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2018,15500000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2017,14100000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2016,12600000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2015,11800000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2014,9200000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2013,8900000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2012,8368000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2011,7430000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2010,8000000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2009,7600000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2008,9579000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2007,6700000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2006,2400000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2005,1954000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2004,1610000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2003,1450000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2002,1400000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2001,1300000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,2000,1298000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1999,1412000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1998,1671000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1997,2220000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1996,2395000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1995,1780400000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1994,1944515940.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1993,926303710.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1992,473945860.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1991,375190280.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1990,180000000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1989,4070000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1988,7679999.9,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1987,10363703.7,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1986,40000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1985,-80000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1984,690000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1983,131111.1,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1982,13050000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1981,17910000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1980,1666666.6,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1979,-60000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1978,463333.3,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1977,-10000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1976,-340000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1975,4089999.9,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1974,1250000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1973,1030000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1972,-890000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1971,1820000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1970,70000.0,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1969,,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1968,,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1967,,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1966,,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1965,,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1964,,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1963,,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1962,,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1961,,,,0
BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",VN,Viet Nam,VNM,1960,,,,0
