indicator_id,indicator_value,country_id,country_value,countryiso3code,date,value,unit,obs_status,decimal
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2024,189.702668041402,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2023,183.073410082137,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2022,177.305841095852,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2021,171.880422664063,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2020,168.783721483338,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2019,163.516947912918,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2018,159.069641224583,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2017,153.631652156685,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2016,148.407332801278,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2015,144.550370194288,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2014,143.643689923265,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2013,138.006729874285,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2012,129.471120024261,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2011,118.677732277071,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2010,100.0,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2009,91.5688306084694,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2008,85.8053032346153,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2007,69.6949931031089,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2006,64.3272394775767,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2005,59.8849626753953,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2004,55.3033191440045,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2003,51.3232296369754,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2002,49.7151204031794,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2001,47.8808858390548,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,2000,48.0884087276966,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1999,48.9251945689942,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1998,46.9905457039141,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1997,43.8074123636177,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1996,42.4451250139849,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1995,40.1657203822899,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1994,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1993,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1992,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1991,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1990,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1989,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1988,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1987,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1986,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1985,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1984,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1983,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1982,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1981,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1980,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1979,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1978,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1977,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1976,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1975,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1974,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1973,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1972,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1971,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1970,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1969,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1968,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1967,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1966,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1965,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1964,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1963,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1962,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1961,,,,1
FP.CPI.TOTL,Consumer price index (2010 = 100),VN,Viet Nam,VNM,1960,,,,1
