indicator_id,indicator_value,country_id,country_value,countryiso3code,date,value,unit,obs_status,decimal
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2024,476388230307.175,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2023,433857681378.291,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2022,413445230668.578,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2021,366474752771.009,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2020,346615738537.796,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2019,334365270496.667,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2018,310106478394.659,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2017,281353605986.903,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2016,257096001177.982,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2015,239258328381.741,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2014,233451469642.519,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2013,213708811665.34,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2012,195590661129.249,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2011,172595049183.925,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2010,147201173196.979,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2009,106014659565.214,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2008,99130304099.1274,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2007,77414425532.2452,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2006,66371664817.0436,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2005,57633255738.1992,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2004,45427854693.2554,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2003,39552513231.9169,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2002,35064105500.8344,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2001,32685198808.5549,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,2000,31172518403.3162,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1999,28683659006.7752,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1998,27209602050.0452,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1997,26843700441.5482,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1996,24657470574.7501,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1995,20736164458.9505,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1994,16286433533.3228,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1993,13180953598.1716,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1992,9866990236.43587,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1991,9613369520.41885,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1990,6471740805.56984,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1989,6293304974.59403,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1988,25423812648.5941,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1987,36658108850.3148,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1986,26336616250.4397,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1985,14094687820.7445,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1984,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1983,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1982,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1981,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1980,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1979,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1978,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1977,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1976,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1975,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1974,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1973,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1972,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1971,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1970,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1969,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1968,,,,0
NY.GDP.MKTP.CD,GDP (current US$),VN,Viet Nam,VNM,1967,,,,0
